Date,SKU Code,SKU Name,Platform,Ad Spend (₹),Impressions,Clicks,CTR,Ad Orders,Attributed Revenue (₹),ROAS,ACoS
2026-08-11,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Flipkart,156,2808,70,2.49%,6,2514,16.12x,6.2%
2026-08-10,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Meesho,1219,45103,2164,4.80%,318,133242,109.30x,0.9%
2026-08-09,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Myntra,1066,20254,874,4.32%,109,45671,42.84x,2.3%
2026-08-08,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Own Website,310,5580,257,4.61%,33,13827,44.60x,2.2%
2026-08-07,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Amazon,973,34055,792,2.33%,29,12151,12.49x,8.0%
2026-08-06,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Flipkart,569,14225,713,5.01%,95,39805,69.96x,1.4%
2026-08-05,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Meesho,888,24864,1318,5.30%,197,82543,92.95x,1.1%
2026-08-04,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Myntra,170,5440,180,3.31%,16,6704,39.44x,2.5%
2026-08-03,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Own Website,929,18580,834,4.49%,100,41900,45.10x,2.2%
2026-08-02,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Amazon,684,21888,1033,4.72%,132,55308,80.86x,1.2%
2026-08-01,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Flipkart,866,19052,791,4.15%,37,15503,17.90x,5.6%
2026-07-31,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Meesho,693,10395,542,5.21%,68,28492,41.11x,2.4%
2026-07-30,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Myntra,673,13460,234,1.74%,29,12151,18.05x,5.5%
2026-07-29,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Own Website,644,23184,434,1.87%,52,21788,33.83x,3.0%
2026-07-28,VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Amazon,474,18486,821,4.44%,40,16760,35.36x,2.8%
2026-08-11,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Meesho,836,23408,433,1.85%,57,23883,28.57x,3.5%
2026-08-10,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Myntra,361,5776,279,4.83%,39,16341,45.27x,2.2%
2026-08-09,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Own Website,226,4068,172,4.23%,9,3771,16.69x,6.0%
2026-08-08,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Amazon,787,29119,793,2.72%,90,37710,47.92x,2.1%
2026-08-07,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Flipkart,863,18986,736,3.88%,45,18855,21.85x,4.6%
2026-08-06,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Meesho,659,22406,555,2.48%,50,20950,31.79x,3.1%
