SKU Code,SKU Name,Category,Warehouse Name,City,Stock Quantity,Low Stock Threshold,Stock Status,Cost Price (₹),MRP (₹),Total Inventory Value (₹),Last Restocked Date
VQ-Guava Toner-Cleanser-Serum-Jamun Toner,ComboAndKit,Grooming,Surat main,Surat,5,10,LOW STOCK,150,599,750,2026-07-25
RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Grooming,Surat main,Surat,113,10,IN STOCK,150,599,16950,2026-08-01
DA-BODY-SCRUB-001,BodyScrub,Grooming,Surat main,Surat,37,10,IN STOCK,150,599,5550,2026-08-09
VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Grooming,Surat main,Surat,372,10,IN STOCK,150,599,55800,2026-08-03
RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Grooming,Surat main,Surat,75,10,IN STOCK,150,599,11250,2026-07-25
SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Grooming,Surat main,Surat,146,10,IN STOCK,150,599,21900,2026-08-09
DA-SALI-FW-02,Facewash,Grooming,Surat main,Surat,36,10,IN STOCK,150,599,5400,2026-08-04
V4,ComboAndKit,Grooming,Surat main,Surat,1,10,LOW STOCK,150,599,150,2026-07-30
FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Grooming,Surat main,Surat,75,10,IN STOCK,150,599,11250,2026-08-08
Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Grooming,Surat main,Surat,242,10,IN STOCK,150,599,36300,2026-08-12
FBL-NSH-RCON-GT-PT,ComboAndKit,Grooming,Surat main,Surat,268,10,IN STOCK,150,599,40200,2026-08-10
VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Grooming,Surat main,Surat,314,10,IN STOCK,150,599,47100,2026-08-12
DA-FOOT-ROLL-ON-002,PedicureKit,Grooming,Surat main,Surat,291,10,IN STOCK,150,599,43650,2026-08-01
NSH-RSH-NAFW-GFS-SFS,ComboAndKit,Grooming,Surat main,Surat,61,10,IN STOCK,150,599,9150,2026-08-03
10 AHA BHA BODY SCRUB + DE TAN FACE PACK,ComboAndKit,Grooming,Surat main,Surat,1,10,LOW STOCK,150,599,150,2026-07-31
