"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","313745319057046720_1","139587086","2026-07-29","","Madhya Pradesh","Dhavath Anti Hair Fall Shampoo For Normal - Oily Hair (300 ml)","Veqix SHAMPOO 3","Free Size","1","114.0","112.0",
"SHIPPED","313746098048410368_1","140303371","2026-07-29","Ad order","Madhya Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","176.0","138.0",
"SHIPPED","313749418204368448_1","239430270","2026-07-29","Ad order","Bihar","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"SHIPPED","313756960133889088_1","457900847","2026-07-29","","Haryana","Hair Removal Spray for Men and Women | Spray (100 ml)","VQ-Hair-Removal-Sprey-100ml","Free Size","1","60.0","60.0",
"SHIPPED","313758851442090752_1","239430270","2026-07-29","Ad order","Punjab","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","161.0",
"SHIPPED","313766265461613312_1","221051510","2026-07-29","","Odisha","Hair Oil with Dhavath Shampoo & Dhavath Conditioner","ros hair oil+dha shampoo+dhav con","Free Size","1","125.0","120.0",
"SHIPPED","313777319084237568_1","140303371","2026-07-29","","Maharashtra","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"SHIPPED","313783603309695616_1","239430270","2026-07-29","Ad order","Tamil Nadu","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"SHIPPED","313793946534165696_1","140303365","2026-07-29","","Jharkhand","Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML)","VQ SERUM =3","Free Size","1","114.0","111.0",
"SHIPPED","313810363530755136_1","140303371","2026-07-29","Ad order","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"SHIPPED","313834624186203200_1","140303371","2026-07-29","Ad order","Andhra Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"SHIPPED","313840246902373440_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"SHIPPED","313847005113164544_1","239430270","2026-07-29","","West Bengal","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"SHIPPED","313854095051340864_1","140303416","2026-07-29","","Chhattisgarh","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"SHIPPED","313857577883942080_1","239430270","2026-07-29","Ad order","West Bengal","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","164.0",
"SHIPPED","313857988175012609_1","239430270","2026-07-29","Ad order","Rajasthan","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313860594381241536_1","140303416","2026-07-29","","Karnataka","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313863447829226240_1","239430270","2026-07-29","","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","164.0",
"CANCELLED","313866539833742848_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313868408022881792_1","239430270","2026-07-29","","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313871394848259136_1","140303371","2026-07-29","","West Bengal","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313871575530984064_1","141003966","2026-07-29","","Gujarat","Hair Growth Combo","V4","Free Size","1","145.0","145.0",
"READY_TO_SHIP","313871456781352000_1","140303371","2026-07-29","","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"READY_TO_SHIP","313873005167452928_1","239430270","2026-07-29","","Tamil Nadu","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","151.0",
"READY_TO_SHIP","313873082670240384_1","221051513","2026-07-29","","Bihar","Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil","Shampoo+Dhavath con+rosemary hair oil","Free Size","1","119.0","115.0",
"READY_TO_SHIP","313875051727699136_1","239430270","2026-07-29","Ad order","Haryana","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313877380984668864_1","140303371","2026-07-29","Ad order","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"READY_TO_SHIP","313877494990045888_1","140303371","2026-07-29","","Odisha","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313877990270161536_1","216391812","2026-07-29","","Andhra Pradesh","Hair Growth Shampoo For Normal & Oily Hair","Rosemary Shampoo","Free Size","1","62.0","62.0",
"READY_TO_SHIP","313878457905200320_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313880252245228736_1","140303426","2026-07-29","","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","123.0",
"READY_TO_SHIP","313881333582937280_1","239430270","2026-07-29","","Assam","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","161.0",
"CANCELLED","313882173333504704_1","239430270","2026-07-29","Ad order","Assam","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313882418462053888_1","140303371","2026-07-29","Ad order","Assam","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
